bucket_id,members,mean_price_per_100g,mean_calories,aisle_id,department_id
1,1,100.0,5.0,26,7
2,1,100.0,5.0,26,7
3,1,57.474999999999994,120.0,87,17
4,1,100.0,5.0,26,7
5,1,97.16666666666667,120.0,31,7
6,1,49.57386363636364,149.0,88,13
7,1,35.8,120.0,27,5
8,1,54.375,120.0,98,7
9,1,59.712500000000006,120.0,118,11
10,1,69.80000000000001,0.0,64,7
11,1,69.80000000000001,89.0,64,7
12,1,69.80000000000001,0.0,64,7
13,1,4.640000000000001,158.0,120,16
14,1,4.640000000000001,151.0,120,16
15,1,100.0,117.0,84,16
16,1,4.640000000000001,153.0,120,16
17,1,4.640000000000001,158.0,120,16
18,1,4.640000000000001,159.0,120,16
19,1,4.640000000000001,154.0,120,16
20,1,4.640000000000001,146.0,120,16
21,1,4.640000000000001,145.0,120,16
22,1,4.640000000000001,151.0,120,16
23,1,4.640000000000001,148.0,120,16
24,1,4.640000000000001,147.0,120,16
25,1,4.640000000000001,143.0,120,16
26,1,4.640000000000001,147.0,120,16
27,1,4.640000000000001,141.0,120,16
28,1,64.14285714285714,120.0,124,5
29,1,100.0,122.0,84,16
30,1,100.0,90.0,3,19
31,1,100.0,98.0,3,19
32,1,100.0,120.0,10,17
33,1,100.0,120.0,115,7
34,1,100.0,120.0,47,11
35,1,100.0,120.0,111,17
36,1,100.0,120.0,54,17
37,1,100.0,120.0,54,17
38,1,100.0,120.0,55,11
39,1,100.0,24.0,76,6
40,1,100.0,120.0,66,6
41,1,100.0,120.0,17,13
42,1,100.0,125.0,84,16
43,1,59.712500000000006,120.0,118,11
44,1,59.712500000000006,120.0,118,11
45,1,100.0,125.0,84,16
46,1,100.0,115.0,84,16
47,1,66.54545454545455,116.0,108,16
48,1,100.0,118.0,84,16
49,1,66.54545454545455,112.0,108,16
50,1,100.0,120.0,84,16
51,1,100.0,114.0,84,16
52,1,100.0,125.0,84,16
53,1,97.16666666666667,116.0,31,7
54,1,100.0,127.0,84,16
55,1,100.0,119.0,84,16
56,1,100.0,120.0,84,16
57,1,66.54545454545455,104.0,108,16
58,1,45.75,120.0,11,11
59,1,45.75,120.0,11,11
60,1,2.117019230769231,120.0,47,11
61,1,13.3,120.0,47,11
62,1,69.80000000000001,120.0,64,7
63,1,54.375,120.0,98,7
64,1,100.0,120.0,76,6
65,1,100.0,120.0,17,13
66,1,4.640000000000001,106.0,120,16
67,1,100.0,120.0,26,7
68,1,100.0,5.0,26,7
69,1,66.54545454545455,108.0,108,16
70,1,66.54545454545455,114.0,108,16
71,1,89.91666666666666,120.0,34,1
72,1,100.0,120.0,77,7
73,1,19.900000000000002,104.0,105,13
74,1,44.9,120.0,130,14
75,1,34.900000000000006,120.0,130,14
76,1,74.9,120.0,10,17
77,1,94.9,120.0,111,17
78,1,34.900000000000006,120.0,30,6
79,1,100.0,120.0,124,5
80,1,100.0,120.0,124,5
81,1,100.0,120.0,10,17
82,1,83.25,120.0,111,17
83,1,2.49,120.0,54,17
84,1,12.49,120.0,99,15
85,1,5.79,97.0,23,19
86,1,4.99,120.0,23,19
87,1,100.0,101.0,23,19
88,1,4.49,103.0,23,19
89,1,5.79,150.0,23,19
90,1,3.49,143.0,120,16
91,1,3.49,97.0,23,19
92,1,5.49,144.0,107,19
93,1,3.49,144.0,61,19
94,1,4.49,120.0,78,19
95,1,4.79,120.0,125,19
96,1,3.49,120.0,78,19
97,1,5.49,220.0,37,1
98,1,6.79,120.0,117,19
99,1,5.49,218.0,37,1
100,1,2.49,120.0,107,19
101,1,5.79,120.0,117,19
102,1,9.79,120.0,65,11
103,1,18.79,120.0,45,19
104,1,3.9900000000000007,120.0,45,19
105,1,15.562500000000002,120.0,124,5
106,1,54.375,120.0,98,7
107,1,49.57386363636364,100.0,88,13
108,1,49.57386363636364,106.0,88,13
109,1,54.375,120.0,98,7
110,1,54.375,95.0,98,7
111,1,54.375,97.0,98,7
112,1,54.375,93.0,98,7
113,1,54.375,100.0,98,7
114,1,54.375,98.0,98,7
115,1,69.80000000000001,94.0,113,1
116,1,54.375,99.0,98,7
117,1,54.375,120.0,98,7
118,1,22.633333333333333,2.0,25,11
119,1,100.0,26.0,83,4
120,1,100.0,105.0,38,1
121,1,100.0,120.0,101,17
122,1,54.375,120.0,98,7
123,1,54.375,63.0,98,7
124,1,96.5,120.0,97,13
125,1,100.0,120.0,17,13
126,1,100.0,152.0,17,13
127,1,73.25,120.0,19,13
128,1,73.25,120.0,19,13
129,1,97.16666666666667,120.0,31,7
130,1,97.16666666666667,120.0,31,7
131,1,100.0,158.0,100,21
132,1,45.24791666666667,120.0,29,13
133,1,2.117019230769231,120.0,47,11
134,1,54.375,0.0,98,7
135,1,97.16666666666667,95.0,31,7
136,1,100.0,120.0,26,7
137,1,100.0,5.0,26,7
138,1,100.0,5.0,26,7
139,1,100.0,5.0,26,7
140,1,100.0,5.0,26,7
141,1,100.0,5.0,26,7
142,1,100.0,5.0,26,7
143,1,100.0,5.0,26,7
144,1,100.0,5.0,26,7
145,1,54.375,61.0,98,7
146,1,51.16,120.0,10,17
147,1,59.712500000000006,120.0,118,11
148,1,2.052837573385519,120.0,132,11
149,1,2.052837573385519,120.0,132,11
150,1,54.375,120.0,98,7
151,1,54.375,120.0,98,7
152,1,54.375,120.0,98,7
153,1,54.375,120.0,98,7
154,1,54.375,91.0,98,7
155,1,93.0,71.0,86,16
156,1,73.25,120.0,19,13
157,1,73.25,120.0,19,13
158,1,73.25,120.0,19,13
159,1,54.375,120.0,98,7
160,1,54.375,120.0,98,7
161,1,100.0,120.0,24,4
162,1,97.16666666666667,120.0,31,7
163,1,82.45833333333334,102.0,50,19
164,1,74.9,120.0,3,19
165,1,54.375,120.0,98,7
166,1,82.45833333333334,120.0,50,19
167,1,100.0,127.0,84,16
168,1,54.375,59.0,98,7
169,1,69.80000000000001,65.0,113,1
170,1,73.25,120.0,19,13
171,1,73.25,120.0,19,13
172,1,100.0,142.0,100,21
173,1,4.640000000000001,143.0,120,16
174,1,100.0,104.0,21,16
175,1,100.0,113.0,21,16
176,1,73.25,120.0,19,13
177,1,54.375,120.0,98,7
178,1,73.25,120.0,19,13
179,1,73.25,120.0,19,13
180,1,54.375,120.0,98,7
181,1,54.375,92.0,98,7
182,1,54.375,97.0,98,7
183,1,54.375,99.0,98,7
184,1,97.16666666666667,120.0,31,7
185,1,54.375,120.0,98,7
186,1,54.375,120.0,98,7
187,1,69.80000000000001,120.0,113,1
188,1,54.375,120.0,98,7
189,1,11.99,120.0,99,15
190,1,54.375,61.0,98,7
191,1,54.375,59.0,98,7
192,1,54.375,120.0,98,7
193,1,54.375,120.0,98,7
194,1,54.375,120.0,98,7
195,1,54.375,120.0,98,7
196,1,54.375,120.0,98,7
197,1,54.375,100.0,98,7
198,1,100.0,120.0,100,21
199,1,54.375,120.0,98,7
200,1,54.375,120.0,98,7
201,1,54.375,120.0,98,7
202,1,97.16666666666667,120.0,31,7
203,1,87.25,60.0,33,6
204,1,54.375,120.0,98,7
205,1,54.375,100.0,98,7
206,1,54.375,90.0,98,7
207,1,54.375,120.0,98,7
208,1,54.375,120.0,98,7
209,1,54.375,120.0,98,7
210,1,54.375,120.0,98,7
211,1,54.375,120.0,98,7
212,1,54.375,120.0,98,7
213,1,100.0,119.0,84,16
214,1,100.0,120.0,84,16
215,1,100.0,121.0,84,16
216,1,64.14285714285714,115.0,91,16
217,1,64.14285714285714,120.0,91,16
218,1,64.14285714285714,114.0,91,16
219,1,64.14285714285714,114.0,91,16
220,1,64.14285714285714,114.0,91,16
221,1,64.14285714285714,114.0,91,16
222,1,100.0,121.0,100,21
223,1,54.375,120.0,98,7
224,1,54.375,120.0,98,7
225,1,93.0,71.0,86,16
226,1,54.375,120.0,98,7
227,1,54.375,120.0,98,7
228,1,97.16666666666667,120.0,31,7
229,1,54.375,120.0,98,7
230,1,52.526315789473685,0.0,115,7
231,1,71.8125,2.0,94,7
232,1,21.461538461538463,228.0,69,15
233,1,100.0,24.0,83,4
234,1,21.461538461538463,168.0,69,15
235,1,62.25000000000001,120.0,59,15
236,1,54.375,0.0,98,7
237,1,22.633333333333333,120.0,25,11
238,1,49.57386363636364,96.0,88,13
239,1,49.57386363636364,100.0,88,13
240,1,49.57386363636364,104.0,88,13
241,1,87.41666666666667,22.0,81,15
242,1,87.41666666666667,23.0,81,15
243,1,87.41666666666667,23.0,81,15
244,1,2.052837573385519,120.0,132,11
245,1,2.117019230769231,120.0,47,11
246,1,100.0,120.0,100,21
247,1,82.45833333333334,120.0,50,19
248,1,87.41666666666667,23.0,81,15
249,1,87.41666666666667,21.0,81,15
250,1,16.6,95.0,109,11
251,1,49.57386363636364,96.0,88,13
252,1,87.41666666666667,21.0,81,15
253,1,100.0,143.0,100,21
254,1,52.526315789473685,120.0,115,7
255,1,100.0,120.0,22,11
256,1,2.117019230769231,120.0,47,11
257,1,65.27033965244865,120.0,114,17
258,1,52.526315789473685,0.0,115,7
259,1,52.526315789473685,0.0,115,7
260,1,54.375,120.0,98,7
261,1,100.0,120.0,17,13
262,1,87.41666666666667,23.0,81,15
263,1,100.0,107.0,21,16
264,1,100.0,120.0,17,13
265,1,71.8125,2.0,94,7
266,1,62.416666666666664,23.0,72,13
267,1,87.41666666666667,21.0,81,15
268,1,87.41666666666667,21.0,81,15
269,1,69.80000000000001,167.0,95,15
270,1,87.41666666666667,21.0,81,15
271,1,100.0,120.0,17,13
272,1,73.25,120.0,19,13
273,1,92.15625,120.0,110,13
274,1,97.16666666666667,120.0,31,7
275,1,19.88888888888889,109.0,112,3
276,1,2.052837573385519,120.0,132,11
277,1,97.16666666666667,120.0,31,7
278,1,97.16666666666667,120.0,31,7
279,1,97.16666666666667,120.0,31,7
280,1,97.16666666666667,120.0,31,7
281,1,100.0,120.0,100,21
282,1,97.16666666666667,103.0,31,7
283,1,6.303333333333334,120.0,117,19
284,1,6.303333333333334,120.0,117,19
285,1,100.0,120.0,104,13
286,1,62.25000000000001,120.0,59,15
287,1,100.0,120.0,104,13
288,1,100.0,120.0,104,13
289,1,87.41666666666667,120.0,81,15
290,1,54.375,0.0,98,7
291,1,100.0,120.0,104,13
292,1,87.41666666666667,21.0,81,15
293,1,100.0,120.0,17,13
294,1,13.647058823529411,180.0,131,9
295,1,100.0,120.0,104,13
296,1,100.0,120.0,104,13
297,1,2.117019230769231,120.0,47,11
298,1,54.375,120.0,98,7
299,1,2.117019230769231,120.0,47,11
300,1,11.99,120.0,99,15
301,1,100.0,120.0,17,13
302,1,2.117019230769231,120.0,47,11
303,1,25.68125,120.0,63,9
304,1,49.57386363636364,105.0,88,13
305,1,49.57386363636364,97.0,88,13
306,1,6.303333333333334,120.0,117,19
307,1,100.0,120.0,104,13
308,1,100.0,120.0,104,13
309,1,100.0,120.0,104,13
310,1,100.0,120.0,17,13
311,1,100.0,120.0,17,13
312,1,87.41666666666667,22.0,81,15
313,1,20.3325,120.0,23,19
314,1,54.375,120.0,98,7
315,1,54.375,120.0,98,7
316,1,100.0,120.0,100,21
317,1,54.375,120.0,98,7
318,1,54.375,120.0,98,7
319,1,11.99,120.0,99,15
320,1,100.0,120.0,42,1
321,1,97.16666666666667,120.0,31,7
322,1,54.375,120.0,98,7
323,1,54.375,120.0,98,7
324,1,100.0,5.0,26,7
325,1,54.375,120.0,98,7
326,1,54.375,96.0,98,7
327,1,100.0,120.0,100,21
328,2,54.375,120.0,98,7
329,1,100.0,120.0,101,17
330,1,54.375,100.0,98,7
331,1,59.712500000000006,2.0,118,11
332,1,73.25,120.0,19,13
333,1,89.91666666666666,237.0,34,1
334,1,2.117019230769231,120.0,47,11
335,1,54.375,64.0,98,7
336,1,73.25,120.0,19,13
337,1,100.0,120.0,101,17
338,1,54.375,120.0,98,7
339,1,100.0,120.0,101,17
340,1,100.0,120.0,101,17
341,1,22.633333333333333,105.0,25,11
342,1,54.375,0.0,98,7
343,1,2.117019230769231,120.0,47,11
344,1,54.375,63.0,98,7
345,1,100.0,120.0,17,13
346,1,73.25,120.0,19,13
347,1,2.052837573385519,120.0,132,11
348,1,45.24791666666667,120.0,29,13
349,1,2.052837573385519,120.0,132,11
350,1,100.0,120.0,6,2
351,1,100.0,120.0,101,17
352,1,2.117019230769231,120.0,47,11
353,1,2.117019230769231,120.0,47,11
354,1,22.633333333333333,120.0,25,11
355,1,45.24791666666667,120.0,29,13
356,1,73.25,64.0,19,13
357,1,54.375,65.0,98,7
358,1,100.0,120.0,101,17
359,1,100.0,120.0,101,17
360,1,45.24791666666667,120.0,29,13
361,1,100.0,5.0,26,7
362,1,16.6,120.0,109,11
363,1,100.0,120.0,101,17
364,1,45.24791666666667,120.0,29,13
365,1,45.24791666666667,120.0,29,13
366,1,45.24791666666667,120.0,29,13
367,1,100.0,120.0,6,2
